"fish.id","sex","stimulus","st.object","order","weight","sl","right","left","LI"
"Female.4.2","F","neg","Or",1,NA,NA,164,85,0.3172690763
"Female.5.2","F","neg","Or",1,NA,NA,123,130,-0.02766798419
"Female.6.2","F","neg","Or",1,NA,NA,108,164,-0.2058823529
"X1","M","pos","Or",1,0.71,0.855,240,41,0.7081850534
"X2","M","pos","Or",1,1.36,1.18,232,44,0.6811594203
"X3","M","pos","Or",1,0.99,0.995,172,114,0.2027972028
"X4","M","pos","Or",1,0.99,0.995,266,10,0.9275362319
"X5","M","pos","Or",1,0.75,0.875,200,92,0.3698630137
"X6","M","pos","Or",1,0.53,0.765,115,175,-0.2068965517
"Y1","M","pos","Gr",2,0.62,1.31,202,80,0.4326241135
"Y2","M","pos","Gr",2,1.25,1.625,0,300,-1
"Y3","M","pos","Gr",2,1.31,1.655,26,270,-0.8243243243
"Y4","M","pos","Gr",2,1.29,1.645,23,277,-0.8466666667
"Y5","M","pos","Gr",2,0.84,1.42,162,118,0.1571428571
"Y6","M","pos","Gr",2,0.71,1.355,0,189,-1
"Z1","F","pos","Or",1,0.89,0.945,117,177,-0.2040816327
"Z2","F","pos","Or",1,1.22,1.11,0,300,-1
"Z3","F","pos","Or",1,2.5,1.75,198,98,0.3378378378
"Z4","F","pos","Or",1,0.87,0.935,101,196,-0.3198653199
"Z6","F","pos","Or",1,2.45,1.725,113,175,-0.2152777778
"E1","M","pos","Gr",2,1.36,1.68,139,152,-0.04467353952
"E2","M","pos","Gr",2,1.25,1.625,164,113,0.1841155235
"E3","M","pos","Gr",2,1.08,1.54,186,102,0.2916666667
"E4","M","pos","Gr",2,1.03,1.515,127,166,-0.133105802
"E5","M","pos","Gr",2,1.03,1.515,127,161,-0.1180555556
"E6","M","pos","Gr",2,1.53,1.765,105,186,-0.2783505155
"X1","M","neg","Gr",2,0.71,1.355,187,68,0.4666666667
"X2","M","neg","Gr",2,1.36,1.68,0,300,-1
"X3","M","neg","Gr",2,0.99,1.495,0,300,-1
"X4","M","neg","Gr",2,0.99,1.495,244,49,0.6655290102
"X5","M","neg","Gr",2,0.75,1.375,138,143,-0.01779359431
"X6","M","neg","Gr",2,0.53,1.265,101,186,-0.2961672474
"Y1","M","neg","Or",1,0.62,0.81,185,110,0.2542372881
"Y2","M","neg","Or",1,1.25,1.125,148,144,0.01369863014
"Y3","M","neg","Or",1,1.31,1.155,300,0,1
"Y4","M","neg","Or",1,1.29,1.145,130,159,-0.1003460208
"Y5","M","neg","Or",1,0.84,0.92,184,97,0.3096085409
"Y6","M","neg","Or",1,0.71,0.855,0,300,-1
"Z1","F","neg","Gr",2,0.89,1.445,235,57,0.6095890411
"Z2","F","neg","Gr",2,1.22,1.61,123,169,-0.1575342466
"Z3","F","neg","Gr",2,2.5,2.25,0,300,-1
"Z4","F","neg","Gr",2,0.87,1.435,98,197,-0.3355932203
"Z6","F","neg","Gr",2,2.45,2.225,300,0,1
"E1","M","neg","Or",1,1.36,1.18,157,140,0.05723905724
"E2","M","neg","Or",1,1.25,1.125,129,147,-0.0652173913
"E3","M","neg","Or",1,1.08,1.04,90,203,-0.385665529
"E4","M","neg","Or",1,1.03,1.015,169,110,0.2114695341
"E5","M","neg","Or",1,1.03,1.015,149,139,0.03472222222
"E6","M","neg","Or",1,1.53,1.265,119,176,-0.193220339
